,Dataset,Model scoring method,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
4,,PFBI KMeans,0.0217086481020239,0.01887222993322837,0.03369185261943224,0.0572250461619796,0.713837890540082,0.00979237100930153,0.02210655249592794,0.01937726553143828,0.1033881436065862,,,,,,,,,
5,,SHAP KMeans,0,0,0,0,0.4857480182155477,0,0,0,0,,,,,,,,,
2,pima,PBFI FuzzyCMeans,0.3325023442325255,0.1335586096431704,0.081393921513258,0.05122463421890212,0.007465197970105944,0.02926830181185821,0.02113153019857359,0.3434554604116064,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.154006740369924,0.05371585499053565,0.02840721887884958,0.03060092952208006,0.01189368430482207,0.01413657224368462,0.01641152084659442,0.154364890049336,,,,,,,,,,
4,,PFBI KMeans,0.3600889924945797,0.09720344368389029,0.08873299191654728,0.04503390308688959,0.02144160484902907,0.01126067036081163,0.00162294729301385,0.3746154463152386,,,,,,,,,,
5,,SHAP KMeans,0.2069314704370267,0.02599914792984265,0.01905071117259834,0.01272410236338468,0.004219890776134816,0.001794340749266232,0.0002620394267731287,0.2129503159295969,,,,,,,,,,
2,yeast,PBFI FuzzyCMeans,0.3412963798131087,0.2973019209543594,0.08392776661403216,0.2047827158238427,0.003988130088992871,0.004934626920428175,0.01544538926511839,0.04832307052011747,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.1603768095397169,0.1320088600720222,0.03720407318894026,0.120529983763256,0.003185558386028501,0.003695989861079327,0.01460374555309198,0.02278036876531388,,,,,,,,,,
4,,PFBI KMeans,0.1680164620647701,0.1583991435425995,0.1099470713577783,0.1568709735091049,0.2393574501210531,0.01212089925776648,0.05854679042028265,0.09674120972664499,,,,,,,,,,
5,,SHAP KMeans,0.6483806097452851,0.6133409741992647,0.2412901188166887,0.7376063033284389,0.01539696652195343,0.0147560782691708,0.1402849623295332,0.5801043328382579,,,,,,,,,,
2,appendicitis,PBFI FuzzyCMeans,0.1590056680266584,0.2028008923698429,0.1953390576229607,0.002542354932173475,0.04363423403749677,0.213097481021069,0.1835803119897987,,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.0882101621523014,0.1204842317330686,0.1177821180043722,0.02356505314148545,0.02667610281153129,0.1328752059953542,0.1060918475670053,,,,,,,,,,,
4,,PFBI KMeans,0.1645918971130663,0.1989071726086439,0.1989438226159866,0.01201336688957455,0.04263684923172739,0.1976241695929802,0.1852827219480212,,,,,,,,,,,
5,,SHAP KMeans,0.05857363237213713,0.090067639729441,0.08681025275898906,0.002873840885588836,0.00911229212226007,0.09237188289342074,0.07446261167336289,,,,,,,,,,,
2,ecoli,PBFI FuzzyCMeans,0.2597958357565461,0.1728076544619439,0.009643541613694972,0.001108757412121642,0.06574961283416676,0.2656349218328567,0.22525967608867,,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.2659687034788416,0.1383582244266973,0.01046933815447253,0.0005800914838017243,0.05854326528865501,0.2193631707368523,0.1894646326981777,,,,,,,,,,,
4,,PFBI KMeans,0.1709377762049056,0.144276159335269,0.1857311466201359,0.01857311466201359,0.1089431503550414,0.2165295018098561,0.1550091510127784,,,,,,,,,,,
5,,SHAP KMeans,0.6969065924981136,0.5970852229780812,0.05534444680649978,0,0.6655343561035502,0.5785693617724886,0.6982196003401372,,,,,,,,,,,
2,liver-disorders,PBFI FuzzyCMeans,0.08696618198800779,0.1539889852429129,0.1453752419228228,0.1684997257151372,0.1725285403565486,0.2726413247745707,,,,,,,,,,,,
3,,SHAP FuzzyCMeans,0.05200676937488249,0.1120087206471777,0.05477110119107055,0.06714346008702678,0.07108680178393825,0.1830011738066465,,,,,,,,,,,,
4,,PFBI KMeans,0.08255169930802198,0.06949157049154596,0.2028961838133638,0.2114442591326347,0.2106550534702012,0.2229612337842325,,,,,,,,,,,,
5,,SHAP KMeans,0.0146787089547015,0.01645536651963877,0.05665280403276615,0.05934019463698097,0.06262297836588945,0.08113953651193698,,,,,,,,,,,,
2,vertebra-column-2c,PBFI FuzzyCMeans,0.2642119747714941,0.1846185311759519,0.2446275580182804,0.1578613166139373,0.06142899320780712,0.08725162621252922,,,,,,,,,,,,
